task.i,learner.i,resampling.i,iteration,start.time,end.time,process,task.id,learner.id,resampling.id,test.subset,train.subsets,groups,test.fold,seed,n.train.groups
1,1,1,1,2025-05-31T17:29:27.609999Z,2025-05-31T17:29:35.356818Z,2035134,MNIST_EMNIST_rot,featureless,same_other_sizes_cv,EMNIST_rot,all,126000,1,1,126000
1,1,1,2,2025-05-31T17:31:36.400003Z,2025-05-31T17:31:44.138287Z,2035134,MNIST_EMNIST_rot,featureless,same_other_sizes_cv,MNIST,all,126000,1,1,126000
1,1,1,3,2025-05-31T18:09:28.152596Z,2025-05-31T18:09:44.356182Z,58,MNIST_EMNIST_rot,featureless,same_other_sizes_cv,EMNIST_rot,all,126000,2,1,126000
1,1,1,4,2025-05-31T18:09:28.167704Z,2025-05-31T18:09:44.537964Z,18,MNIST_EMNIST_rot,featureless,same_other_sizes_cv,MNIST,all,126000,2,1,126000
1,1,1,5,2025-05-31T18:09:28.332042Z,2025-05-31T18:09:44.413414Z,85,MNIST_EMNIST_rot,featureless,same_other_sizes_cv,EMNIST_rot,all,126000,3,1,126000
1,1,1,6,2025-05-31T18:09:28.343255Z,2025-05-31T18:09:44.456045Z,12,MNIST_EMNIST_rot,featureless,same_other_sizes_cv,MNIST,all,126000,3,1,126000
1,1,1,7,2025-05-31T18:09:28.351250Z,2025-05-31T18:09:44.442043Z,59,MNIST_EMNIST_rot,featureless,same_other_sizes_cv,EMNIST_rot,all,126000,4,1,126000
1,1,1,8,2025-05-31T18:09:28.392767Z,2025-05-31T18:09:44.176512Z,36,MNIST_EMNIST_rot,featureless,same_other_sizes_cv,MNIST,all,126000,4,1,126000
1,1,1,9,2025-05-31T18:09:29.010703Z,2025-05-31T18:09:44.483445Z,60,MNIST_EMNIST_rot,featureless,same_other_sizes_cv,EMNIST_rot,all,126000,5,1,126000
1,1,1,10,2025-05-31T18:09:29.018696Z,2025-05-31T18:09:44.216162Z,69,MNIST_EMNIST_rot,featureless,same_other_sizes_cv,MNIST,all,126000,5,1,126000
1,1,1,11,2025-05-31T18:09:29.279043Z,2025-05-31T18:09:44.237401Z,87,MNIST_EMNIST_rot,featureless,same_other_sizes_cv,EMNIST_rot,all,126000,6,1,126000
1,1,1,12,2025-05-31T18:09:29.297714Z,2025-05-31T18:09:44.213678Z,5,MNIST_EMNIST_rot,featureless,same_other_sizes_cv,MNIST,all,126000,6,1,126000
1,1,1,13,2025-05-31T18:09:29.308053Z,2025-05-31T18:09:44.289191Z,11,MNIST_EMNIST_rot,featureless,same_other_sizes_cv,EMNIST_rot,all,126000,7,1,126000
1,1,1,14,2025-05-31T18:09:29.318016Z,2025-05-31T18:09:44.285947Z,63,MNIST_EMNIST_rot,featureless,same_other_sizes_cv,MNIST,all,126000,7,1,126000
1,1,1,15,2025-05-31T18:09:29.325743Z,2025-05-31T18:09:44.286597Z,57,MNIST_EMNIST_rot,featureless,same_other_sizes_cv,EMNIST_rot,all,126000,8,1,126000
1,1,1,16,2025-05-31T18:09:29.364520Z,2025-05-31T18:09:44.396545Z,4,MNIST_EMNIST_rot,featureless,same_other_sizes_cv,MNIST,all,126000,8,1,126000
1,1,1,17,2025-05-31T18:09:29.766692Z,2025-05-31T18:09:44.349800Z,81,MNIST_EMNIST_rot,featureless,same_other_sizes_cv,EMNIST_rot,all,126000,9,1,126000
1,1,1,18,2025-05-31T18:09:29.802308Z,2025-05-31T18:09:44.166939Z,32,MNIST_EMNIST_rot,featureless,same_other_sizes_cv,MNIST,all,126000,9,1,126000
1,1,1,19,2025-05-31T18:09:29.840294Z,2025-05-31T18:09:44.261385Z,78,MNIST_EMNIST_rot,featureless,same_other_sizes_cv,EMNIST_rot,all,126000,10,1,126000
1,1,1,20,2025-05-31T18:09:29.856964Z,2025-05-31T18:09:44.219821Z,49,MNIST_EMNIST_rot,featureless,same_other_sizes_cv,MNIST,all,126000,10,1,126000
1,1,1,21,2025-05-31T18:09:29.887029Z,2025-05-31T18:09:44.212761Z,86,MNIST_EMNIST_rot,featureless,same_other_sizes_cv,EMNIST_rot,other,63000,1,1,63000
1,1,1,22,2025-05-31T18:09:29.900555Z,2025-05-31T18:09:44.183117Z,51,MNIST_EMNIST_rot,featureless,same_other_sizes_cv,MNIST,other,63000,1,1,63000
1,1,1,23,2025-05-31T18:09:30.027590Z,2025-05-31T18:09:44.402132Z,19,MNIST_EMNIST_rot,featureless,same_other_sizes_cv,EMNIST_rot,other,63000,2,1,63000
1,1,1,24,2025-05-31T18:09:30.091380Z,2025-05-31T18:09:44.466396Z,22,MNIST_EMNIST_rot,featureless,same_other_sizes_cv,MNIST,other,63000,2,1,63000
1,1,1,25,2025-05-31T18:09:30.483415Z,2025-05-31T18:09:44.540183Z,74,MNIST_EMNIST_rot,featureless,same_other_sizes_cv,EMNIST_rot,other,63000,3,1,63000
1,1,1,26,2025-05-31T18:09:30.710847Z,2025-05-31T18:09:44.739856Z,45,MNIST_EMNIST_rot,featureless,same_other_sizes_cv,MNIST,other,63000,3,1,63000
